id,flight_date,flight_status
2024-04-14DL1144B739,2024-04-14,landed
2024-04-14DL7844None,2024-04-14,landed
2024-04-14DL1723A321,2024-04-14,landed
2024-04-14DL9502None,2024-04-14,landed
2024-04-14DL7885None,2024-04-14,active
2024-04-14DL7805None,2024-04-14,landed
2024-04-14DL6463None,2024-04-14,landed
2024-04-14DL7815None,2024-04-14,landed
2024-04-14DL8042None,2024-04-14,landed
2024-04-14DL113A333,2024-04-14,landed
2024-04-14DL5233None,2024-04-14,landed
2024-04-14DL7708None,2024-04-14,scheduled
2024-04-14DL6202None,2024-04-14,landed
2024-04-14DL6452None,2024-04-14,landed
2024-04-14DL2325None,2024-04-14,landed
2024-04-14DL7736None,2024-04-14,landed
2024-04-14DL7879None,2024-04-14,landed
2024-04-14DL6556None,2024-04-14,landed
2024-04-14DL8627None,2024-04-14,scheduled
2024-04-14DL6778None,2024-04-14,landed
2024-04-14DL7513None,2024-04-14,landed
2024-04-14DL7893None,2024-04-14,landed
2024-04-14DL9500None,2024-04-14,diverted
2024-04-14DL8571None,2024-04-14,landed
2024-04-14DL6697None,2024-04-14,landed
2024-04-14DL40A359,2024-04-14,landed
2024-04-14DL2125B738,2024-04-14,landed
2024-04-14DL7859None,2024-04-14,landed
2024-04-14DL7890None,2024-04-14,landed
2024-04-14DL8843B752,2024-04-14,landed
2024-04-14DL7861None,2024-04-14,landed
2024-04-14DL6913None,2024-04-14,landed
2024-04-14DL7179None,2024-04-14,landed
2024-04-14DL6917None,2024-04-14,landed
2024-04-14DL7951None,2024-04-14,landed
2024-04-14DL1392None,2024-04-14,active
2024-04-14DL6973None,2024-04-14,landed
2024-04-14DL8686None,2024-04-14,landed
2024-04-14DL6025None,2024-04-14,landed
2024-04-14DL6965None,2024-04-14,landed
2024-04-14DL6972None,2024-04-14,landed
2024-04-14DL6872None,2024-04-14,landed
2024-04-14DL4308CRJ9,2024-04-14,landed
2024-04-14DL417None,2024-04-14,landed
2024-04-14DL6935None,2024-04-14,landed
2024-04-14DL2120A319,2024-04-14,landed
2024-04-14DL1248A319,2024-04-14,landed
2024-04-14DL7949None,2024-04-14,landed
2024-04-14DL7842None,2024-04-14,landed
2024-04-14DL1361B738,2024-04-14,landed
2024-04-14DL2072A321,2024-04-14,landed
2024-04-14DL1032A320,2024-04-14,landed
2024-04-14DL2078None,2024-04-14,landed
2024-04-14DL2549A320,2024-04-14,landed
2024-04-14DL2001B739,2024-04-14,landed
2024-04-14DL6043None,2024-04-14,landed
2024-04-14DL1669None,2024-04-14,landed
2024-04-14DL2721None,2024-04-14,landed
2024-04-14DL6884None,2024-04-14,landed
2024-04-14DL3893None,2024-04-14,landed
2024-04-14DL9471None,2024-04-14,landed
2024-04-14DL3660E75L,2024-04-14,landed
2024-04-14DL2782A321,2024-04-14,landed
2024-04-14DL1264B739,2024-04-14,landed
2024-04-14DL1718None,2024-04-14,landed
2024-04-14DL2929B712,2024-04-14,landed
2024-04-14DL1555B738,2024-04-14,landed
2024-04-14DL1469None,2024-04-14,landed
2024-04-14DL1296None,2024-04-14,landed
2024-04-14DL1730None,2024-04-14,landed
2024-04-14DL1578B739,2024-04-14,landed
2024-04-14DL699None,2024-04-14,landed
2024-04-14DL674B739,2024-04-14,landed
2024-04-14DL1433None,2024-04-14,landed
2024-04-14DL1131None,2024-04-14,landed
2024-04-14DL1432BCS1,2024-04-14,landed
2024-04-14DL838B739,2024-04-14,landed
2024-04-14DL450B738,2024-04-14,landed
2024-04-14DL692BCS3,2024-04-14,landed
2024-04-14DL4141None,2024-04-14,landed
2024-04-14DL2995A319,2024-04-14,landed
2024-04-14DL3832E75L,2024-04-14,landed
2024-04-14DL3808None,2024-04-14,landed
2024-04-14DL4124E75L,2024-04-14,landed
2024-04-14DL4289CRJ7,2024-04-14,active
2024-04-14DL4948CRJ9,2024-04-14,landed
2024-04-14DL930B712,2024-04-14,landed
2024-04-14DL4934None,2024-04-14,landed
2024-04-14DL1272None,2024-04-14,landed
2024-04-14DL1672None,2024-04-14,landed
2024-04-14DL3783None,2024-04-14,landed
2024-04-14DL3950None,2024-04-14,landed
2024-04-14DL820None,2024-04-14,landed
2024-04-14DL1728A321,2024-04-14,landed
2024-04-14DL4002None,2024-04-14,landed
2024-04-14DL4873CRJ9,2024-04-14,landed
2024-04-14DL2468None,2024-04-14,landed
2024-04-14DL2284B712,2024-04-14,landed
2024-04-14DL162A333,2024-04-14,landed
2024-04-14DL3659E75L,2024-04-14,landed
